timestamp,ce,pe,avg_ce,avg_pe
2025-09-14T09:15:00,72.92,74.99,74.49,71.81
2025-09-14T09:15:30,75.86,72.05,76.83,69.18
2025-09-14T09:16:00,76.68,71.23,79.37,71.94
2025-09-14T09:16:30,70.16,77.74,73.56,79.94
2025-09-14T09:17:00,72.43,75.48,71.91,74.51
2025-09-14T09:17:30,74.01,73.89,72.84,76.48
2025-09-14T09:18:00,77.18,70.73,74.13,73.99
2025-09-14T09:18:30,75.31,72.6,77.79,74.1
2025-09-14T09:19:00,73.31,74.6,75.02,78.07
2025-09-14T09:19:30,71.66,76.25,73.86,76.54
2025-09-14T09:20:00,73.79,74.12,73.31,75.83
2025-09-14T09:20:30,71.64,76.27,74.16,78.79
2025-09-14T09:21:00,69.82,78.09,72.49,76.09
2025-09-14T09:21:30,73.6,74.31,74.41,73.41
2025-09-14T09:22:00,69.24,78.67,71.67,76.16
2025-09-14T09:22:30,71.08,76.83,73.19,75.61
2025-09-14T09:23:00,77.76,70.15,79.32,68.58
2025-09-14T09:23:30,69.06,78.85,72.15,75.59
2025-09-14T09:24:00,76.16,71.75,76.07,73.61
2025-09-14T09:24:30,75.86,72.05,76.97,71.98
2025-09-14T09:25:00,76.88,71.02,73.75,69.05
2025-09-14T09:25:30,75.87,72.04,74.4,72.62
2025-09-14T09:26:00,73.69,74.22,73.91,73.67
2025-09-14T09:26:30,76.41,71.49,75.12,72.95
2025-09-14T09:27:00,71.66,76.25,69.88,73.35
2025-09-14T09:27:30,70.88,77.03,68.18,77.3
2025-09-14T09:28:00,76.58,71.33,74.17,69.31
2025-09-14T09:28:30,73.8,74.11,75.45,77.64
2025-09-14T09:29:00,74.2,73.71,72.59,70.76
2025-09-14T09:29:30,70.9,77.01,68.96,74.54
