timestamp,ce,pe,avg_ce,avg_pe
2025-09-14T09:15:00,50.7,50.01,49.55,52.38
2025-09-14T09:15:30,50.89,49.82,51.89,47.96
2025-09-14T09:16:00,54.04,46.67,53.99,48.41
2025-09-14T09:16:30,51.09,49.61,50.94,49.32
2025-09-14T09:17:00,47.2,53.51,45.08,55.87
2025-09-14T09:17:30,50.13,50.58,51.75,50.07
2025-09-14T09:18:00,46.09,54.61,46.69,52.18
2025-09-14T09:18:30,46.85,53.86,47.14,52.81
2025-09-14T09:19:00,55.29,45.41,53.18,46.62
2025-09-14T09:19:30,51.42,49.29,52.91,47.94
2025-09-14T09:20:00,50.58,50.13,50.33,49.84
2025-09-14T09:20:30,53.96,46.75,56.6,45.84
2025-09-14T09:21:00,51.56,49.14,52.13,50.32
2025-09-14T09:21:30,54.83,45.88,53.23,44.55
2025-09-14T09:22:00,51.96,48.75,50.18,47.16
2025-09-14T09:22:30,46.1,54.6,43.81,54.33
2025-09-14T09:23:00,51.29,49.42,50.22,48.09
2025-09-14T09:23:30,52.42,48.28,53.49,48.06
2025-09-14T09:24:00,52.23,48.48,54.44,49.88
2025-09-14T09:24:30,51.6,49.1,52.44,51.23
2025-09-14T09:25:00,49.61,51.1,49.83,51.86
2025-09-14T09:25:30,54.44,46.27,56.22,44.29
2025-09-14T09:26:00,47.01,53.69,46.11,55.03
2025-09-14T09:26:30,51.05,49.66,49.97,47.8
2025-09-14T09:27:00,52.24,48.47,53.28,50.61
2025-09-14T09:27:30,50.36,50.35,50.33,48.24
2025-09-14T09:28:00,45.75,54.96,45.44,53.98
2025-09-14T09:28:30,47.86,52.85,45.9,55.29
2025-09-14T09:29:00,53.71,46.99,54.12,49.11
2025-09-14T09:29:30,55.35,45.36,56.3,44.31
