timestamp,ce,pe,avg_ce,avg_pe
2025-09-14T09:15:00,60.4,58.86,58.91,60.09
2025-09-14T09:15:30,54.65,64.61,56.97,64.86
2025-09-14T09:16:00,61.82,57.44,63.32,58.42
2025-09-14T09:16:30,58.27,60.99,55.77,61.99
2025-09-14T09:17:00,57.93,61.33,56.85,63.46
2025-09-14T09:17:30,61.83,57.43,60.59,56.34
2025-09-14T09:18:00,58.71,60.55,58.14,59.31
2025-09-14T09:18:30,55.9,63.36,55.46,66.15
2025-09-14T09:19:00,61.4,57.86,63.88,58.53
2025-09-14T09:19:30,57.64,61.62,57.92,58.54
2025-09-14T09:20:00,57.5,61.76,57.1,62.25
2025-09-14T09:20:30,61.18,58.08,60.96,57.75
2025-09-14T09:21:00,56.77,62.49,56.61,65.0
2025-09-14T09:21:30,62.59,56.67,60.52,54.32
2025-09-14T09:22:00,59.78,59.48,60.58,58.5
2025-09-14T09:22:30,62.81,56.45,64.39,57.42
2025-09-14T09:23:00,56.88,62.38,55.17,59.42
2025-09-14T09:23:30,57.08,62.18,56.94,64.36
2025-09-14T09:24:00,55.36,63.9,54.88,64.73
2025-09-14T09:24:30,56.57,62.69,57.69,62.65
2025-09-14T09:25:00,57.07,62.19,57.96,59.12
2025-09-14T09:25:30,62.14,57.12,63.82,54.87
2025-09-14T09:26:00,58.88,60.38,56.97,63.14
2025-09-14T09:26:30,59.81,59.45,57.12,57.96
2025-09-14T09:27:00,63.11,56.15,62.84,57.84
2025-09-14T09:27:30,61.31,57.95,64.3,58.51
2025-09-14T09:28:00,64.13,55.13,66.64,55.75
2025-09-14T09:28:30,61.82,57.44,61.85,59.34
2025-09-14T09:29:00,60.11,59.15,62.5,60.59
2025-09-14T09:29:30,59.38,59.88,57.95,58.37
