timestamp,ce,pe,avg_ce,avg_pe
2025-09-14T09:15:00,70.59,78.62,69.9,77.36
2025-09-14T09:15:30,78.22,70.99,76.25,68.79
2025-09-14T09:16:00,74.09,75.12,73.51,73.45
2025-09-14T09:16:30,72.1,77.11,75.15,76.67
2025-09-14T09:17:00,78.22,70.99,78.61,67.8
2025-09-14T09:17:30,79.6,69.61,82.27,72.88
2025-09-14T09:18:00,78.87,70.34,81.62,67.99
2025-09-14T09:18:30,74.46,74.75,72.33,74.01
2025-09-14T09:19:00,70.19,79.02,69.34,82.85
2025-09-14T09:19:30,72.26,76.95,74.31,76.61
2025-09-14T09:20:00,73.83,75.37,77.21,79.11
2025-09-14T09:20:30,75.16,74.05,76.8,71.49
2025-09-14T09:21:00,72.57,76.64,75.97,77.24
2025-09-14T09:21:30,75.03,74.18,76.89,70.9
2025-09-14T09:22:00,75.45,73.76,75.47,76.36
2025-09-14T09:22:30,71.18,78.03,74.46,74.75
2025-09-14T09:23:00,71.46,77.75,72.14,79.11
2025-09-14T09:23:30,71.96,77.25,69.22,80.27
2025-09-14T09:24:00,72.07,77.14,72.75,78.06
2025-09-14T09:24:30,73.8,75.41,74.41,75.58
2025-09-14T09:25:00,78.95,70.26,76.62,71.78
2025-09-14T09:25:30,71.99,77.22,71.24,78.54
2025-09-14T09:26:00,72.6,76.6,71.27,78.53
2025-09-14T09:26:30,70.33,78.88,70.04,82.81
2025-09-14T09:27:00,79.57,69.64,76.17,67.65
2025-09-14T09:27:30,72.26,76.95,75.39,79.88
2025-09-14T09:28:00,78.4,70.81,77.37,68.39
2025-09-14T09:28:30,77.94,71.27,79.53,72.06
2025-09-14T09:29:00,79.48,69.73,80.7,66.3
2025-09-14T09:29:30,77.78,71.43,76.21,72.6
