timestamp,ce,pe,avg_ce,avg_pe
2025-09-14T09:15:00,69.82,77.13,67.13,74.1
2025-09-14T09:15:30,74.01,72.94,72.32,73.71
2025-09-14T09:16:00,75.65,71.3,73.41,72.25
2025-09-14T09:16:30,71.11,75.83,71.03,78.91
2025-09-14T09:17:00,76.93,70.01,73.8,69.48
2025-09-14T09:17:30,71.24,75.71,67.7,77.76
2025-09-14T09:18:00,74.84,72.1,73.06,73.84
2025-09-14T09:18:30,73.99,72.96,73.46,69.38
2025-09-14T09:19:00,69.23,77.72,71.88,80.86
2025-09-14T09:19:30,73.93,73.02,76.4,73.62
2025-09-14T09:20:00,69.95,76.99,67.35,75.52
2025-09-14T09:20:30,77.46,69.48,79.76,71.99
2025-09-14T09:21:00,77.46,69.48,75.22,67.74
2025-09-14T09:21:30,69.5,77.45,71.45,80.42
2025-09-14T09:22:00,72.54,74.41,73.41,71.84
2025-09-14T09:22:30,77.77,69.17,80.61,72.47
2025-09-14T09:23:00,76.58,70.37,79.5,67.02
2025-09-14T09:23:30,75.84,71.11,74.57,74.17
2025-09-14T09:24:00,76.5,70.45,79.28,72.64
2025-09-14T09:24:30,71.14,75.81,73.19,72.83
2025-09-14T09:25:00,77.19,69.75,79.96,67.82
2025-09-14T09:25:30,76.64,70.31,76.33,68.94
2025-09-14T09:26:00,76.43,70.52,74.34,67.16
2025-09-14T09:26:30,70.4,76.54,69.2,79.33
2025-09-14T09:27:00,78.14,68.8,76.42,69.78
2025-09-14T09:27:30,72.47,74.48,75.96,74.75
2025-09-14T09:28:00,77.87,69.08,74.87,72.33
2025-09-14T09:28:30,70.26,76.69,73.51,74.89
2025-09-14T09:29:00,69.56,77.39,69.1,79.16
2025-09-14T09:29:30,71.61,75.34,72.37,75.42
