timestamp,ce,pe,avg_ce,avg_pe
2025-09-14T09:15:00,61.24,70.74,59.86,68.78
2025-09-14T09:15:30,68.35,63.62,69.56,66.12
2025-09-14T09:16:00,61.86,70.12,61.37,66.82
2025-09-14T09:16:30,63.17,68.8,63.21,65.54
2025-09-14T09:17:00,62.97,69.0,63.92,69.31
2025-09-14T09:17:30,63.19,68.78,63.75,70.91
2025-09-14T09:18:00,61.05,70.92,62.92,72.33
2025-09-14T09:18:30,64.39,67.58,62.17,70.67
2025-09-14T09:19:00,64.35,67.62,61.73,64.89
2025-09-14T09:19:30,69.46,62.51,70.18,64.43
2025-09-14T09:20:00,68.28,63.69,68.53,66.7
2025-09-14T09:20:30,64.77,67.2,65.11,69.41
2025-09-14T09:21:00,67.17,64.8,69.6,65.3
2025-09-14T09:21:30,68.03,63.94,64.94,62.2
2025-09-14T09:22:00,63.88,68.09,61.2,66.27
2025-09-14T09:22:30,62.0,69.98,60.62,70.93
2025-09-14T09:23:00,64.63,67.34,63.79,65.38
2025-09-14T09:23:30,63.66,68.32,66.43,69.33
2025-09-14T09:24:00,67.08,64.89,64.87,66.38
2025-09-14T09:24:30,62.62,69.35,61.86,72.75
2025-09-14T09:25:00,67.39,64.59,67.77,65.78
2025-09-14T09:25:30,69.41,62.56,71.33,60.86
2025-09-14T09:26:00,61.31,70.66,60.18,69.02
2025-09-14T09:26:30,63.1,68.88,65.89,71.47
2025-09-14T09:27:00,64.13,67.84,65.13,67.13
2025-09-14T09:27:30,70.13,61.84,69.84,60.39
2025-09-14T09:28:00,63.45,68.52,63.84,66.89
2025-09-14T09:28:30,66.83,65.14,69.49,64.48
2025-09-14T09:29:00,63.18,68.79,66.32,68.86
2025-09-14T09:29:30,61.89,70.08,59.09,67.34
