timestamp,ce,pe,avg_ce,avg_pe
2025-09-14T09:15:00,68.61,62.77,68.07,60.03
2025-09-14T09:15:30,64.5,66.87,67.7,67.06
2025-09-14T09:16:00,70.4,60.98,72.94,58.0
2025-09-14T09:16:30,67.89,63.48,69.13,63.71
2025-09-14T09:17:00,63.35,68.02,64.25,65.38
2025-09-14T09:17:30,65.03,66.34,64.73,69.35
2025-09-14T09:18:00,69.44,61.93,67.8,61.93
2025-09-14T09:18:30,62.47,68.9,65.05,71.45
2025-09-14T09:19:00,63.67,67.7,64.56,68.44
2025-09-14T09:19:30,62.21,69.16,63.85,69.43
2025-09-14T09:20:00,68.47,62.9,68.68,59.76
2025-09-14T09:20:30,63.93,67.44,60.86,70.34
2025-09-14T09:21:00,69.47,61.9,71.78,60.71
2025-09-14T09:21:30,61.27,70.11,63.58,73.24
2025-09-14T09:22:00,61.54,69.83,61.46,66.82
2025-09-14T09:22:30,68.29,63.08,70.11,60.74
2025-09-14T09:23:00,65.44,65.93,65.76,64.38
2025-09-14T09:23:30,69.41,61.96,68.88,60.18
2025-09-14T09:24:00,66.08,65.29,67.6,63.34
2025-09-14T09:24:30,63.8,67.57,66.96,68.58
2025-09-14T09:25:00,65.07,66.31,65.18,63.79
2025-09-14T09:25:30,62.93,68.44,61.91,69.04
2025-09-14T09:26:00,62.99,68.39,61.23,65.45
2025-09-14T09:26:30,67.0,64.38,65.18,66.99
2025-09-14T09:27:00,69.28,62.09,66.31,60.46
2025-09-14T09:27:30,67.38,64.0,65.45,61.64
2025-09-14T09:28:00,70.04,61.33,70.54,61.16
2025-09-14T09:28:30,68.53,62.84,70.64,60.89
2025-09-14T09:29:00,61.66,69.72,61.23,69.18
2025-09-14T09:29:30,65.36,66.02,66.85,67.16
